"RDA1" "RDA2" "" ""
"oxy_bip" -0.916115359319512 -0.400914764530919 0.42931744216728 0.001
"oxy_hae" 0.433292709435077 -0.901253254058153 0.155047563209141 0.077
"oxy_man" -0.444483980586063 -0.895786799971047 0.101986027134873 0.204
"oxy_qua" -0.92405688677293 -0.382254980356726 0.104961880331513 0.198
"oxy_tri" -0.999982315534585 -0.00594715209899522 0.333268505122599 0.002
"oxy_uni" 0.327933663173957 -0.944700752914546 0.0869112468437231 0.273
"oxy_var" 0.324934423524451 -0.945736549155648 0.208643373905331 0.038
"pem_fab" 0.0351984221137079 -0.999380343553297 0.0866050131581507 0.279
"pem_ino" 0.853021362517405 -0.521875995892654 0.251431381836953 0.013
"pem_let" 0.84739433853106 -0.530964061896384 0.398732688049136 0.004
"pem_wes" 0.682616560411348 -0.730776731602875 0.103825389940572 0.184
"phi_tra" -0.682872713968393 0.730537375168062 0.203759679189632 0.029
"pod_aff" -0.859494285437287 0.511145354376471 0.0142280449953525 0.82
"pod_hir" 0.194275491534501 0.980947008451031 0.1516139947818 0.067
"pse_pal" -0.0531157913536702 0.998588359990679 0.0309905683294496 0.817
"pse_sch" -0.990474441962057 -0.137696695021893 0.0595196127748296 0.563
"sph_fun" 0.0839489023852019 0.996470060658282 0.139819146654623 0.091
"tac_pan" 0.369000465661483 0.929429209967929 0.488566141341285 0.001
"tac_hel" -0.99799203347943 -0.0633395698721734 0.0171656215785496 0.855
"tac_obs" 0.429624429130213 -0.903007668790547 0.01391611033067 0.806
"tac_pom" -0.92863947578498 -0.370983455175291 0.588520348090714 0.001
"tac_psa" 0.567258736617695 -0.823539632155549 0.0476909120279242 0.617
"tac_uni" 0.178937562268693 0.983860431570117 0.0300961265889409 0.847
"try_att" 0.721127854633059 -0.69280200437955 0.438307329705876 0.002
"try_dec" 0.863493900877424 -0.50435927982688 0.488429073779323 0.001
"try_med" 0.204480253040837 -0.978870689170104 0.20033771909138 0.028
"try_min" 0.520861716855732 -0.853641067377911 0.334910980702918 0.007
"amm_pun" 0.784628684001871 -0.619965989584503 0.0668203595464321 0.421
"bom_boh" -0.0201880160032239 -0.999796201237959 0.175339427651852 0.061
"bom_cam" 0.298892700227034 -0.954286725125626 0.128544936876568 0.139
"bom_qua" -0.755822799896508 0.65477621761683 0.020727431764037 0.841
"bom_rup" -0.390454004806441 -0.920622436252024 0.206735386894004 0.034
"bom_sylv" -0.759025922154826 -0.65106040387741 0.0561691176788189 0.437
"bom_ves" -0.281698232688448 0.959503051428293 0.0109257134295543 1
"coe_ala" 0.951161741438596 -0.308692956873814 0.0501139627242648 0.517
"coe_aur" -0.281698232688448 0.959503051428293 0.0109257134295543 1
"coe_con" 0.982130989486976 0.188198617129173 0.0951115397989941 0.222
"coe_elo" 0.585660089998214 0.810556758643886 0.0236372010615053 0.872
"coe_man" 0.281209296876857 -0.959646461646175 0.11224295901063 0.18
"coe_ruf" -0.645475272268903 -0.763781168195043 0.0453275435137776 0.55
"col_qua" 0.144254801829168 0.989540576302573 0.355330043497626 0.002
"epe_coe" 0.909068619033553 -0.416646427907919 0.0326868708665918 0.627
"epe_var" 0.767111735718128 0.641513511099743 0.381844690487288 0.002
"nom_arm" 0.743289397780215 -0.668970007659181 0.16453702104727 0.058
"nom_flg" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"nom_fla" 0.866841733720266 0.498583401930754 0.162340013567026 0.076
"nom_fuc" -0.0796270891668289 0.996824722140667 0.138167562154049 0.125
"nom_ful" -0.391847617314668 0.920030132552634 0.109784306561295 0.184
"nom_fur" -0.0519989143324321 0.998647141340848 0.0340065608493412 0.76
"nom_fus" 0.999178835656557 0.0405173342658123 0.109924129632267 0.175
"nom_fat" -0.89670599918934 0.44262664969232 0.0712008098791234 0.372
"nom_ita" 0.0346599657263204 0.999399162885306 0.0955370854230412 0.242
"nom_moe" -0.129989124942677 0.991515419646431 0.0417406477940238 0.58
"nom_rob" 0.75743736898348 0.652907828155999 0.197745906376474 0.039
"nom_she" 0.682616560411348 -0.730776731602875 0.103825389940572 0.184
"nom_sig" -0.794581200316873 0.607157900469884 0.0308223692079286 0.693
"nom_sti" 0.472287372429181 -0.881444631184478 0.0782083170988893 0.355
