"RDA1" "RDA2" "" ""
"gor_qua" -0.59924128613026 0.800568473646666 0.0053473500286413 0.924
"har_lun" 0.545481721503248 -0.838122718643191 0.0476581855865356 0.627
"les_ala" 0.00988332076472933 0.999951158792599 0.0756527114939682 0.338
"les_cly" -0.848970863833061 -0.528439658203797 0.105439709282783 0.222
"les_sub" -0.0654920131464558 0.997853093503259 0.0632942665321495 0.49
"lin_alb" -0.948744504396028 -0.316044087712989 0.474738088673792 0.001
"lin_pyg" -0.882724323038675 -0.469891231580152 0.443969556580514 0.002
"mim_bru" 0.667024243314238 -0.745036011767933 0.103261284129459 0.231
"mim_atr" -0.987182470876921 -0.159595642776793 0.0444525108464624 0.626
"mim_bea" -0.913248188981222 -0.407403663855049 0.0327955916203619 0.782
"mim_uni" -0.259724464876119 -0.965682764858529 0.0338596405712531 0.663
"nys_dim" 0.628228804302173 -0.778028643074959 0.130782954282827 0.117
"nys_mac" -0.91158050583781 -0.411121613852255 0.281551989222436 0.01
"nys_nig" -0.530824493545742 -0.847481773875938 0.0889460977722696 0.254
"oxy_bip" -0.929082671311973 -0.369872126373168 0.42877865587001 0.002
"oxy_hae" 0.409781093014312 -0.912183893635486 0.154824305583731 0.092
"oxy_man" -0.474638977620344 -0.880180572907352 0.0974457044015352 0.236
"oxy_qua" -0.934003401341969 -0.357264112781614 0.10620140320434 0.178
"oxy_tri" -0.999370654704796 0.035472447264131 0.330400257594934 0.009
"oxy_uni" 0.308014981135213 -0.951381506755452 0.085702870727243 0.281
"oxy_var" 0.302412845550814 -0.953177040662363 0.206776890999649 0.027
"pem_fab" 0.00172044309621138 -0.999998520036681 0.0885823044048653 0.262
"pem_ino" 0.849759724081875 -0.527170191995237 0.249082211076851 0.017
"pem_let" 0.837227061253744 -0.546855417733444 0.397517607021006 0.002
"pem_wes" 0.667024243314238 -0.745036011767933 0.103261284129459 0.231
"phi_tra" -0.654032894387008 0.756466108335167 0.206199828075858 0.035
"pod_aff" -0.842811661472691 0.538208605733541 0.01419527495224 0.802
"pod_hir" 0.225046454137399 0.974348035088173 0.152972545378832 0.068
"pse_pal" -0.033562953935186 0.999436605354809 0.0295787211858687 0.837
"pse_sch" -0.994843987293722 -0.101417162973184 0.0591232586192362 0.542
"sph_fun" 0.11041809224949 0.993885227228971 0.137343002185149 0.104
"tac_pan" 0.398574960975099 0.917135759025728 0.496033116458953 0.001
"tac_hel" -0.999911660791705 0.0132917498010977 0.0164875114771207 0.894
"tac_obs" 0.411765155515821 -0.911289995941485 0.0138371481476188 0.83
"tac_pom" -0.94035290744668 -0.34020054299865 0.588696316513836 0.001
"tac_psa" 0.545481721503248 -0.838122718643191 0.0476581855865356 0.627
"tac_uni" 0.213629055194732 0.97691485134407 0.0305569591683851 0.795
"try_att" 0.708086331324441 -0.706125872200909 0.43446692107942 0.001
"try_dec" 0.849559731828035 -0.527492428435022 0.488295346826079 0.002
"try_med" 0.172245351203352 -0.985054079220443 0.203619392877364 0.028
"try_min" 0.502345841428471 -0.864666788768669 0.331996039283906 0.001
"chr_bic" 0.411972379695071 -0.911196333601261 0.107595202774893 0.184
"chr_ful" 0.0514260794794749 -0.998676803750528 0.0235796144040966 0.822
"hed_cor" -0.115862911174823 0.993265214237414 0.0105544495308734 0.967
"hed_ger" 0.955154410179291 0.296108177386324 0.0206847296605847 0.769
"hed_nie" 0.209884132400818 0.977726265867065 0.429892824054808 0.002
"hed_nob" 0.921538766511447 0.388286365736116 0.114402443326056 0.154
"hed_rut" 0.914961471991278 -0.403541205791371 0.0191673205883761 0.768
"par_gra" 0.335901804748226 0.941897010063672 0.124872957538813 0.13
"pse_neg" -0.904114577904125 -0.427290100542064 3.10282782484283e-06 1
"chr_spl" -0.220872241382474 0.975302749399735 0.168812916514059 0.061
"hed_cha" 0.801373342020804 0.598164498025758 0.00223797958226241 0.973
